                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.97573,                0.55408,                 1.1792,                0.91972,                 0.8413,                0.91013,                0.67001,                 1.1241,                0.56133,                 1.2221,              0.0017087,              0.0017087,              0.0017087
                     69,                0.96821,                0.55064,                 1.1829,                0.92044,                0.84076,                0.91035,                0.67044,                 1.1238,                0.56121,                 1.2215,               0.001585,               0.001585,               0.001585
                     70,                0.94105,                0.49469,                 1.1554,                0.92053,                0.84001,                0.91028,                0.67061,                  1.124,                0.56158,                 1.2213,              0.0014612,              0.0014612,              0.0014612
                     71,                0.93963,                0.49118,                 1.1543,                0.92077,                0.83938,                 0.9102,                0.67076,                 1.1242,                 0.5623,                 1.2211,              0.0013375,              0.0013375,              0.0013375
                     72,                0.93383,                0.48556,                 1.1488,                0.92087,                0.83918,                0.90996,                0.67097,                 1.1245,                0.56275,                 1.2211,              0.0012138,              0.0012138,              0.0012138
                     73,                0.92739,                0.48114,                 1.1437,                0.92094,                 0.8387,                0.90992,                0.67128,                 1.1248,                0.56338,                  1.221,                0.00109,                0.00109,                0.00109
                     74,                0.91928,                0.47544,                 1.1407,                0.92001,                0.83898,                0.90996,                0.67158,                 1.1248,                0.56386,                 1.2208,             0.00096625,             0.00096625,             0.00096625
                     75,                0.91587,                0.47218,                 1.1312,                0.92084,                0.83824,                0.90983,                0.67178,                  1.125,                0.56433,                 1.2204,              0.0008425,              0.0008425,              0.0008425
                     76,                0.91115,                0.46734,                 1.1284,                 0.9212,                0.83776,                0.90977,                0.67211,                  1.125,                0.56492,                 1.2199,             0.00071875,             0.00071875,             0.00071875
                     77,                0.90342,                0.46182,                 1.1302,                0.92003,                0.83858,                0.90956,                0.67231,                 1.1253,                0.56563,                 1.2199,               0.000595,               0.000595,               0.000595
                     78,                0.89839,                0.45747,                 1.1242,                0.91913,                0.83907,                0.90936,                0.67247,                 1.1256,                0.56652,                   1.22,             0.00047125,             0.00047125,             0.00047125
                     79,                0.89399,                 0.4531,                 1.1201,                0.91876,                 0.8388,                0.90923,                0.67259,                  1.126,                0.56735,                 1.2201,              0.0003475,              0.0003475,              0.0003475
